query,phone_number,website,score
Nom du compte Adresse 1,Erreur numéro,Erreur site,0
"AUXENCE ZA DE LA BERGERIE
RUE DES COQUELICOTS
LOUISFERT 44110",02 40 28 11 55,auxence.com,0
"Ecole primaire privée Blanche de Castille 45 boulevard Jules Verne
NANTES CEDEX 3 44319",02 40 52 54 60,blanchedecastille.com,0
"Ecole primaire privée Notre-Dame 7 rue du Puits Neuf
LEGE 44650",Aucun résultat,Aucun site,56
"Ecole primaire privée Diwan 160 rue du Corps de Garde
NANTES 441000",09 75 80 36 62,Site non trouvé,0
"Ecole primaire privée Notre-Dame de Toutes Aides rue Jean Julien Lemordant
NANTES 44071",Aucun résultat,Aucun site,40
"Ecole primaire privée Saint Laurent 28 rue Bizeul
Blain 44130",02 40 79 07 60,stlaurent-blain.fr,0
"Ecole primaire privée Saint Symphorien 53 rue Henri Gautier
COUERON 44220",02 40 86 12 15,coueron-st-symphorien.fr,0
"Ecole primaire privée Sainte-Famille 3 place de la Trinité
Clisson 44190",Aucun résultat,Aucun site,56
"Ecole primaire privée Nazareth 22 boulevard Victor Hugo
CHATEAUBRIANT 44110",02 40 81 35 35,Site non trouvé,0
"Ecole primaire privée Sainte Agnès 55 rue du Chanoine Larose
Nantes 44107 Nantes",02 51 83 65 55,sainteagnes-nantes.fr,0
"Ecole primaire privée Ange Gardien 42 rue de Verdun
PORNIC 44210",Aucun résultat,Aucun site,56
"Ecole primaire privée Sainte Madeleine La Joliverie 10 QUAI HOCHE
NANTES CEDEX 2 44265",02 51 25 06 80,la-joliverie.com,0
"Ecole élémentaire privée Saint Paul 66 rue Jean Jaurès
Rezé 44400",Aucun résultat,Aucun site,44
"Ecole primaire privée Notre-Dame 29 rue Fontaine Launay
PONT ROUSSEAU REZE 44400",02 40 75 74 22,notredamerezenantes.fr,0
"Ecole primaire privée Sainte Anne 8 rue Camille Jouis
Rezé 44400",07 57 40 41 06,reze-steanne-stjoseph.fr,0
"Ecole primaire privée Notre-Dame 2 rue Racine
Saint-Nazaire 44600",Aucun résultat,Aucun site,52
"Ecole primaire privée Saint Gohard 27 rue Jean Jaurès
Saint-Nazaire 44600",02 40 22 28 23,sainte-therese.fr,0
TIPIAK - FR 44860,02 40 32 11 11,tipiak.fr,0
"BETREC IG 11 RUE NINA SIMONE
NANTES 44000",02 40 69 50 51,betrec.com,0
"ORATIO AVOCATS 5 RUE ALBERT LONDRES
NANTES 44300",02 40 50 12 76,oratio-avocats.com,0
"BAUDIN CHATEAUNEUF 6 RUE ROSE DIENG-KUNTZ
NANTES 44300",Aucun résultat,Aucun site,43
"GOBE RUE RENE FONCK
SAINT-AIGNAN-GRANDLIEU 44860",02 40 43 70 87,Site non trouvé,0
"COMAP 3 MAIL DU FRONT POPULAIRE IMM. EHUNDERA
NANTES 44200",Aucun résultat,Aucun site,49
"DYNAE 7 RUE DU SEIL
REZE 44406",02 40 13 50 30,eiffageenergiesystemes.com,0
"AUXITEC INDUSTRIE 3 AVENUE BARBARA
TRIGNAC 44570",Aucun résultat,Aucun site,44
"COGEDIM VENTE 11 RUE ARTHUR III
NANTES 44200",02 51 86 00 20,cogedim.com,0
"CABINET THIERRY 6 RUE DU COUEDIC
NANTES 44000",Aucun résultat,Aucun site,34
