SIRET;Nom du compte;Site Scrapping;DNS;Mail Server1;Mail Server2;Mail Server3;Mail Server4;Mail Server5;Mail Server6;Mail Server7;Mail Server8;Mail Server9
53878376200015;SAPELEM;sapelem.com;OUI;sapelem-com.mail.protection.outlook.com (priorité 0);;;;;;;;
50400150400043;GALLIANCE LANGUIDIC;galliance.fr;OUI;galliance-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
78837360300059;EIFFAGE ENERGIE SYSTEMES - CLEVIA OUEST;aucun site;aucun site;;;;;;;;;
80204477600044;ARTELIA HOLDING;aucun site;aucun site;;;;;;;;;
70202737602075;EGIS;egis.fr;NON DEFINI;gw000160-eu.fortimail.com (priorité 5);;;;;;;;
43998621700206;ENGIE GLOBAL BUSINESS SUPPORT SERVICES;aucun site;aucun site;;;;;;;;;
43225313600084;V.A.D.;aucun site;aucun site;;;;;;;;;
49291258900016;IDEA SERVICES;groupe-idea.com;OUI;groupeidea-com01e.mail.protection.outlook.com (priorité 0);;;;;;;;
43998621700198;ENGIE GLOBAL BUSINESS SUPPORT SERVICES;aucun site;aucun site;;;;;;;;;
34459235700075;GALLIANCE INDUSTRIE SEVRIENNE;galliance.fr;OUI;galliance-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
31429262400058;BUGAL;bugal.fr;OUI;bugal-fr.mail.protection.outlook.com (priorité 5);;;;;;;;
43998621700149;ENGIE GLOBAL BUSINESS SUPPORT SERVICES;equans.fr;NON DEFINI;(priorité 0);;;;;;;;
51030295300730;CAFPI;cafpi.fr;OUI;cafpi-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
51030295300268;CAFPI;cafpi.fr;OUI;cafpi-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
51030295302447;CAFPI;cafpi.fr;OUI;cafpi-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
51030295301720;CAFPI;cafpi.fr;OUI;cafpi-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
34039306500230;SODEXO PASS FRANCE;aucun site;aucun site;;;;;;;;;
51030295302777;CAFPI;aucun site;aucun site;;;;;;;;;
32681744200063;AGENCE NATIONALE CHEQUES VACANCES;aucun site;aucun site;;;;;;;;;
44055806200103;BIOFORTIS;biofortis.fr;OUI;biofortis-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
50168955800069;UNION EVOLUTION;aucun site;aucun site;;;;;;;;;
41982240800086;NOVELTY FRANCE;novelty-group.com;OUI;noveltygroup-com01i.mail.protection.outlook.com (priorité 0);;;;;;;;
39916141300196;CHAFFOTEAUX;aucun site;aucun site;;;;;;;;;
41173676200013;SOCIETE FINANCIERE DU LANDREAU;aucun site;aucun site;;;;;;;;;
31808472000081;ENTREPOTS ET TRANSPORTS BARBE;seafrigo.com;NON DEFINI;d312290.a.ess.de.barracudanetworks.com (priorité 5);d312290.b.ess.de.barracudanetworks.com (priorité 50);;;;;;;
33459132800037;TRANSPORTS LERAY;aucun site;aucun site;;;;;;;;;
39102934500470;COLIS PRIVE;aucun site;aucun site;;;;;;;;;
73820699400159;SED LOGISTIQUE;aucun site;aucun site;;;;;;;;;
30704843900268;M & M MILITZER & MUNCH FRANCE;mumnet.fr;NON DEFINI;webmail.mumnet.fr (priorité 30);;;;;;;;
57207411000964;PANALPINA FRANCE TRANSPORTS INTERNATION;aucun site;aucun site;;;;;;;;;
30096101800326;DSV AIR & SEA SAS;aucun site;aucun site;;;;;;;;;
42214961700074;IDEA LOGISTIQUE;groupe-idea.com;OUI;groupeidea-com01e.mail.protection.outlook.com (priorité 0);;;;;;;;
49291258900024;IDEA SERVICES;aucun site;aucun site;;;;;;;;;
95950308700246;CLASQUIN SA;aucun site;aucun site;;;;;;;;;
56201326801468;NAVILAND CARGO;aucun site;aucun site;;;;;;;;;
57208252700233;LP ART;lpart.fr;NON DEFINI;ALT4.ASPMX.L.GOOGLE.COM (priorité 10);ALT1.ASPMX.L.GOOGLE.COM (priorité 5);ALT2.ASPMX.L.GOOGLE.COM (priorité 5);ASPMX.L.GOOGLE.COM (priorité 1);ALT3.ASPMX.L.GOOGLE.COM (priorité 10);;;;
34888331500452;PUBLICITE REGIES EDITION & COMMUNICATION;aucun site;aucun site;;;;;;;;;
