domain;outlook_server;mail_server_1;mail_server_2;mail_server_3;mail_server_4;mail_server_5
auxence.com;NON DEFINI;mx-mibc-fr-10.mailinblack.com (priorité 5);;;;
blanchedecastille.com;OUI;blanchedecastille-com.mail.protection.outlook.com (priorité 0);;;;
stlaurent-blain.fr;OUI;stlaurentblain-fr02c.mail.protection.outlook.com (priorité 1);;;;
coueron-st-symphorien.fr;NON;mx2.ovh.net (priorité 5);mx1.ovh.net (priorité 1);coueronstsymphorien-fr01ie.mail.protection.outlook.com (priorité 0);mxb.ovh.net (priorité 100);
sainteagnes-nantes.fr;OUI;sainteagnesnantes-fr02i.mail.protection.outlook.com (priorité 0);;;;
la-joliverie.com;OUI;lajoliverie-com0e.mail.protection.outlook.com (priorité 0);;;;
notredamerezenantes.fr;OUI;notredamerezenantes-fr.mail.protection.outlook.com (priorité 0);;;;
reze-steanne-stjoseph.fr;NON;mxb.ovh.net (priorité 100);mx1.ovh.net (priorité 1);mx2.ovh.net (priorité 5);;
sainte-therese.fr;OUI;saintetherese-fr01e.mail.protection.outlook.com (priorité 10);;;;
tipiak.fr;OUI;tipiak-fr.mail.protection.outlook.com (priorité 0);;;;
betrec.com;NON DEFINI;asp47.mailinblack.com (priorité 10);;;;
oratio-avocats.com;OUI;oratioavocats-com01e.mail.protection.outlook.com (priorité 0);;;;
eiffageenergiesystemes.com;NON DEFINI;;;;;
cogedim.com;OUI;cogedim-com.mail.protection.outlook.com (priorité 0);;;;
thierry-immobilier.fr;NON;mx03.cloud.vadesecure.com (priorité 10);mx01.cloud.vadesecure.com (priorité 10);mx02.cloud.vadesecure.com (priorité 10);mx04.cloud.vadesecure.com (priorité 10);
bnppre.fr;NON DEFINI;;;;;
yaskawa.fr;NON DEFINI;yaskawa.fr (priorité 10);;;;
sirehna.com;NON DEFINI;pmx.oceamail.com (priorité 5);;;;
pwc.fr;NON DEFINI;fb.mail.gandi.net (priorité 50);spool.mail.gandi.net (priorité 10);;;
presents.fr;NON DEFINI;ASPMX3.GOOGLEMAIL.COM (priorité 5);ASPMX.L.GOOGLE.COM (priorité 1);ALT2.ASPMX.L.GOOGLE.COM (priorité 3);ALT1.ASPMX.L.GOOGLE.COM (priorité 3);ASPMX2.GOOGLEMAIL.COM (priorité 5)
